CANTON,CODIGO_CANTON
CUENCA,0101
GIRON,0102
GUALACEO,0103
NABON,0104
PAUTE,0105
PUCARA,0106
SAN FERNANDO,0107
SANTA ISABEL,0108
SIGSIG,0109
OÑA,0110
CHORDELEG,0111
EL PAN,0112
SEVILLA DE ORO,0113
GUACHAPALA,0114
CAMILO PONCE ENRIQUEZ,0115
GUARANDA,0201
CHILLANES,0202
SAN JOSE DE CHIMBO,0203
ECHANDíA,0204
SAN MIGUEL,0205
CALUMA,0206
LAS NAVES,0207
AZOGUES,0301
BIBLIAN,0302
CANAR,0303
LA TRONCAL,0304
EL TAMBO,0305
DELEG,0306
SUSCAL,0307
TULCAN,0401
BOLIVAR,0402
ESPEJO,0403
MIRA,0404
MONTUFAR,0405
SAN PEDRO DE HUACA,0406
LATACUNGA,0501
LA MANA,0502
PANGUA,0503
PUJILI,0504
SAN MIGUEL DE SALCEDO,0505
SAQUISILI,0506
SIGCHOS,0507
RIOBAMBA,0601
ALAUSI,0602
COLTA,0603
CHAMBO,0604
CHUNCHI,0605
GUAMOTE,0606
GUANO,0607
PALLATANGA,0608
PENIPE,0609
CUMANDA,0610
MACHALA,0701
ARENILLAS,0702
ATAHUALPA,0703
BALSAS,0704
CHILLA,0705
EL GUABO,0706
HUAQUILLAS,0707
MARCABELI,0708
PASAJE,0709
PINAS,0710
PORTOVELO,0711
SANTA ROSA,0712
ZARUMA,0713
LAS LAJAS,0714
ESMERALDAS,0801
ELOY ALFARO,0802
MUISNE,0803
QUININDE,0804
SAN LORENZO,0805
ATACAMES,0806
RIO VERDE,0807
GUAYAQUIL,0901
ALFREDO BAQUERIZO MORENO ( JUJAN ),0902
BALAO,0903
BALZAR,0904
COLIMES,0905
DAULE,0906
DURAN,0907
EL EMPALME,0908
EL TRIUNFO,0909
MILAGRO,0910
NARANJAL,0911
NARANJITO,0912
PALESTINA,0913
PEDRO CARBO,0914
SAMBORONDON,0916
SANTA LUCIA,0918
SALITRE,0919
SAN JACINTO DE YAGUACHI,0920
PLAYAS,0921
SIMON BOLIVAR,0922
CORONEL MARCELINO MARIDUENA,0923
LOMAS DE SARGENTILLO,0924
NOBOL,0925
IBARRA,1001
ANTONIO ANTE,1002
COTACACHI,1003
OTAVALO,1004
PIMAMPIRO,1005
SAN MIGUEL DE URCUQUI,1006
LOJA,1101
CALVAS,1102
CATAMAYO,1103
CELICA,1104
CHAGUARPAMBA,1105
ESPINDOLA,1106
GONZANAMA,1107
MACARA,1108
PALTAS,1109
PUYANGO,1110
SARAGURO,1111
SOZORANGA,1112
ZAPOTILLO,1113
PINDAL,1114
QUILANGA,1115
OLMEDO (LOJA),1116
BABAHOYO,1201
BABA,1202
MONTALVO,1203
PUEBLO VIEJO,1204
QUEVEDO,1205
URDANETA,1206
VENTANAS,1207
VINCES,1208
PALENQUE,1209
SAN JACINTO DE BUENA FE,1210
VALENCIA,1211
MOCACHE,1212
PORTOVIEJO,1301
BOLIVAR (CALCETA),1302
CHONE,1303
EL CARMEN,1304
FLAVIO ALFARO,1305
JIPIJAPA,1306
JUNIN,1307
MANTA,1308
MONTECRISTI,1309
PAJAN,1310
PICHINCHA,1311
ROCAFUERTE,1312
SANTA ANA,1313
SUCRE,1314
TOSAGUA,1315
24 DE MAYO,1316
PEDERNALES,1317
OLMEDO,1318
PUERTO LOPEZ,1319
JAMA,1320
JARAMIJO,1321
SAN VICENTE,1322
MORONA,1401
GUALAQUIZA,1402
LIMON INDANZA,1403
PALORA ( METZERA ),1404
SANTIAGO (MENDEZ),1405
SUCUA,1406
HUAMBOYA,1407
SAN JUAN BOSCO,1408
TAISHA,1409
LOGRONO,1410
PABLO VI,1411
TIWINTZA,1412
TENA,1501
ARCHIDONA,1503
EL CHACO,1504
QUIJOS,1507
CARLOS JULIO AROSEMENA TOLA,1509
PASTAZA (PUYO),1601
MERA,1602
SANTA CLARA,1603
ARAJUNO,1604
QUITO,1701
CAYAMBE,1702
MEJIA,1703
PEDRO MONCAYO,1704
RUMINAHUI,1705
SAN MIGUEL DE LOS BANCOS,1707
PUERTO QUITO,1709
AMBATO,1801
BANOS DE AGUA SANTA,1802
CEVALLOS,1803
MOCHA,1804
PATATE,1805
QUERO,1806
SAN PEDRO DE PELILEO,1807
SANTIAGO DE PILLARO,1808
TISALEO,1809
ZAMORA,1901
CHINCHIPE,1902
NANGARITZA,1903
YACUAMBI,1904
YANTZAZA,1905
EL PANGUI,1906
CENTINELA DEL CONDOR,1907
PALANDA,1908
PAQUISHA,1909
SAN CRISTOBAL,2001
ISABELA,2002
SANTA CRUZ,2003
LAGO AGRIO ( NUEVA LOJA ),2101
GONZALO PIZARRO,2102
PUERTO EL CARMEN DE PUTUMAYO,2103
SHUSHUFINDI,2104
SUCUMBIOS,2105
CASCALES ( EL DORADO ),2106
CUYABENO,2107
PUERTO FRANCISCO DE ORELLANA,2201
AGUARICO,2202
LA JOYA DE LOS SACHAS,2203
LORETO,2204
SANTO DOMINGO,2301
SANTA ELENA,2401
LA LIBERTAD,2402
SALINAS,2403
GENERAL ANTONIO ELIZALDE (BUCAY),0927
ISIDRO AYORA,0928
QUINSALOMA,1213
LA CONCORDIA,2302
PEDRO VICENTE MALDONADO,1708
